patch_id,path,source,folder,project,bug_id,tool,reason
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS,Patches_ICSE/Ddifferent/ACS/Lang/patch1-Lang-35-ACS.patch,Patches_ICSE,Ddifferent,Lang,Lang-35,ACS,Zenodo note: mistakenly labeled (ACS-Lang-35)
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS,Patches_ICSE/Ddifferent/ACS/Lang/patch1-Lang-7-ACS.patch,Patches_ICSE,Ddifferent,Lang,Lang-7,ACS,Zenodo note: borderline patch (ACS-Lang-7)
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja,Patches_ICSE/Ddifferent/Arja/Math/patch1-Math-35-Arja.patch,Patches_ICSE,Ddifferent,Math,Math-35,Arja,Zenodo note: mistakenly labeled (Arja-Math-35)
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,Patches_ICSE/Ddifferent/Arja/Math/patch1-Math-50-Arja.patch,Patches_ICSE,Ddifferent,Math,Math-50,Arja,Zenodo note: mistakenly labeled (Arja-Math-50)
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,Patches_ICSE/Ddifferent/SimFix/Closure/patch1-Closure-19-SimFix.patch,Patches_ICSE,Ddifferent,Closure,Closure-19,SimFix,Zenodo note: mistakenly labeled (SimFix-Closure-19)
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,Patches_ICSE/Ddifferent/SimFix/Lang/patch1-Lang-60-SimFix.patch,Patches_ICSE,Ddifferent,Lang,Lang-60,SimFix,Zenodo note: mistakenly labeled (SimFix-Lang-60)
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix,Patches_ICSE/Ddifferent/SimFix/Math/patch1-Math-72-SimFix.patch,Patches_ICSE,Ddifferent,Math,Math-72,SimFix,Zenodo note: mistakenly labeled (SimFix-Math-72)
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar,Patches_ICSE/Ddifferent/TBar/Lang/patch1-Lang-7-TBar.patch,Patches_ICSE,Ddifferent,Lang,Lang-7,TBar,Zenodo note: borderline patch (TBar-Lang-7)
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,Patches_ICSE/Ddifferent/jKali/Lang/patch1-Lang-7-jKali.patch,Patches_ICSE,Ddifferent,Lang,Lang-7,jKali,Zenodo note: mistakenly labeled (jKali-Lang-7)
Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR,Patches_ICSE/Ddifferent/kPAR/Lang/patch1-Lang-7-kPAR.patch,Patches_ICSE,Ddifferent,Lang,Lang-7,kPAR,Zenodo note: borderline patch (kPAR-Lang-7)
Patches_ICSE__Error__patch1-Chart-12-FixMiner-plausible,Patches_ICSE/Error/patch1-Chart-12-FixMiner-plausible.patch,Patches_ICSE,Error,Chart,Chart-12,FixMiner,Zenodo note: does not pass plausibility check (FixMiner-Chart-12)
Patches_ICSE__Error__patch1-Chart-12-kPAR-plausible,Patches_ICSE/Error/patch1-Chart-12-kPAR-plausible.patch,Patches_ICSE,Error,Chart,Chart-12,kPAR,Zenodo note: does not pass plausibility check (kPAR-Chart-12)
Patches_ICSE__Error__patch1-Closure-106-SimFix-plausible,Patches_ICSE/Error/patch1-Closure-106-SimFix-plausible.patch,Patches_ICSE,Error,Closure,Closure-106,SimFix,in source-dataset folder 'Error' (no label)
Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-43-CapGen,Patches_others/Dcorrect/CapGen/Lang/patch1-Lang-43-CapGen.patch,Patches_others,Dcorrect,Lang,Lang-43,CapGen,Zenodo note: mistakenly labeled (patch1-Lang-43-CapGen)
Patches_others__Dcorrect__CapGen__Lang__patch2-Lang-43-CapGen,Patches_others/Dcorrect/CapGen/Lang/patch2-Lang-43-CapGen.patch,Patches_others,Dcorrect,Lang,Lang-43,CapGen,Zenodo note: mistakenly labeled (patch2-Lang-43-CapGen)
Patches_others__Dcorrect__CapGen__Math__patch2-Math-53-CapGen,Patches_others/Dcorrect/CapGen/Math/patch2-Math-53-CapGen.patch,Patches_others,Dcorrect,Math,Math-53,CapGen,Zenodo note: mistakenly labeled (patch2-Math-53-CapGen)
Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-51-Jaid,Patches_others/Dcorrect/Jaid/Lang/patch2-Lang-51-Jaid.patch,Patches_others,Dcorrect,Lang,Lang-51,Jaid,Zenodo note: mistakenly labeled (patch2-Lang-51-Jaid)
Patches_others__Dcorrect__Jaid__Math__patch2-Math-53-Jaid,Patches_others/Dcorrect/Jaid/Math/patch2-Math-53-Jaid.patch,Patches_others,Dcorrect,Math,Math-53,Jaid,Zenodo note: mistakenly labeled (patch2-Math-53-Jaid)
Patches_others__Dcorrect__SOFix__Math__patch1-Math-2-SOFix,Patches_others/Dcorrect/SOFix/Math/patch1-Math-2-SOFix.patch,Patches_others,Dcorrect,Math,Math-2,SOFix,Zenodo note: does not pass plausibility check (patch1-Math-2-SOFix)
Patches_others__Doverfitting__SketchFix__Lang__patch1-Lang-6-SketchFix-plausible,Patches_others/Doverfitting/SketchFix/Lang/patch1-Lang-6-SketchFix-plausible.patch,Patches_others,Doverfitting,Lang,Lang-6,SketchFix,Zenodo note: does not pass plausibility check (patch1-Lang-6-SketchFix-plausible)
Patches_others__Doverfitting__SketchFix__Lang__patch2-Lang-6-SketchFix-plausible,Patches_others/Doverfitting/SketchFix/Lang/patch2-Lang-6-SketchFix-plausible.patch,Patches_others,Doverfitting,Lang,Lang-6,SketchFix,Zenodo note: does not pass plausibility check (patch2-Lang-6-SketchFix-plausible)
