patch_id,bug_id,project,tool,label,lines_added,lines_removed,total_changed,code_lines_added,code_lines_removed,n_hunks,n_files,only_deletes,adds_conditional_guard,literal_in_failing_test_message,has_trigger_test_info,whitespace_normalized
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,Chart,ACS,correct,2,2,4,2,2,2,1,0,1,0,1,1
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,Lang,ACS,correct,1,1,2,1,0,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,Math-25,Math,ACS,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math-3,Math,ACS,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,Math-35,Math,ACS,correct,13,0,13,13,0,3,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-5-ACS,Math-5,Math,ACS,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,Math-61,Math,ACS,correct,2,2,4,2,2,2,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math-82,Math,ACS,correct,1,2,3,1,2,1,1,0,1,1,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math-85,Math,ACS,correct,1,2,3,1,2,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-89-ACS,Math-89,Math,ACS,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-90-ACS,Math-90,Math,ACS,correct,1,1,2,1,0,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-99-ACS,Math-99,Math,ACS,correct,2,2,4,2,2,2,1,0,1,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,Chart-11,Chart,AVATAR,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Closure-115,Closure,AVATAR,correct,1,3,4,0,3,1,1,1,0,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,Closure-2,Closure,AVATAR,correct,4,1,5,3,1,2,1,0,1,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,Closure-38,Closure,AVATAR,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang-10,Lang,AVATAR,correct,1,7,8,0,7,1,1,1,0,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,Lang-57,Lang,AVATAR,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,Chart-12,Chart,Arja,correct,1,0,1,1,0,1,1,0,0,0,1,1
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Closure-115,Closure,Arja,correct,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Closure-126,Closure,Arja,correct,0,8,8,0,4,1,1,1,0,0,1,0
Patches_ICSE__Ddifferent__Cardumen__Chart__patch1-Chart-11-Cardumen,Chart-11,Chart,Cardumen,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__DynaMoth__Math__patch1-Math-50-DynaMoth,Math-50,Math,DynaMoth,correct,3,1,4,3,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-11-FixMiner,Chart-11,Chart,FixMiner,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-24-FixMiner,Chart-24,Chart,FixMiner,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-115-GenProg,Closure-115,Closure,GenProg,correct,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Closure-126,Closure,GenProg,correct,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-115-Kali,Closure-115,Closure,Kali,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali,Closure-126,Closure,Kali,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__Kali__Math__patch1-Math-50-Kali,Math-50,Math,Kali,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__Nopol__Lang__patch1-Lang-46-Nopol,Lang-46,Lang,Nopol,correct,3,1,4,3,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair,Closure-115,Closure,RSRepair,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,Chart-20,Chart,SimFix,correct,6,0,6,3,0,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Closure-115,Closure,SimFix,correct,7,0,7,4,0,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-6-SimFix,Closure-6,Closure,SimFix,correct,9,0,9,6,0,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-68-SimFix,Closure-68,Closure,SimFix,correct,8,0,8,5,0,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-71-SimFix,Math-71,Math,SimFix,correct,11,0,11,8,0,2,1,0,1,0,1,0
Patches_ICSE__Ddifferent__TBar__Chart__patch1-Chart-11-TBar,Chart-11,Chart,TBar,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,Lang-10,Lang,TBar,correct,1,7,8,0,7,1,1,1,0,0,1,0
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-33-TBar,Lang-33,Lang,TBar,correct,3,1,4,3,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-47-TBar,Lang-47,Lang,TBar,correct,2,1,3,2,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-11-TBar,Math-11,Math,TBar,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-65-TBar,Math-65,Math,TBar,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg,Math-5,Math,jGenProg,correct,1,63,64,1,61,6,1,0,0,0,1,0
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Math-53,Math,jGenProg,correct,7,4,11,7,4,3,1,0,1,0,1,0
Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,Closure-126,Closure,jKali,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-10-jKali,Lang-10,Lang,jKali,correct,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__jKali__Math__patch1-Math-50-jKali,Math-50,Math,jKali,correct,3,3,6,1,3,1,1,0,1,0,1,0
Patches_ICSE__Ddifferent__kPAR__Closure__patch1-Closure-40-kPAR,Closure-40,Closure,kPAR,correct,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-28-ACS-plausible,Math-28,Math,ACS,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,Math-4,Math,ACS,overfitting,2,2,4,2,0,2,2,0,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,Math-73,Math,ACS,overfitting,1,1,2,1,0,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-81-ACS-plausible,Math-81,Math,ACS,overfitting,1,2,3,1,2,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-93-ACS-plausible,Math-93,Math,ACS,overfitting,8,1,9,8,1,2,1,0,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-97-ACS-plausible,Math-97,Math,ACS,overfitting,1,2,3,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,Chart-13,Chart,AVATAR,overfitting,1,3,4,0,3,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Chart-14,Chart,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,Chart-15,Chart,AVATAR,overfitting,0,379,379,0,289,1,1,1,0,0,1,1
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-25-AVATAR-plausible,Chart-25,Chart,AVATAR,overfitting,0,42,42,0,25,1,1,1,0,0,1,1
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-26-AVATAR-plausible,Chart-26,Chart,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-5-AVATAR-plausible,Chart-5,Chart,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-7-AVATAR-plausible,Chart-7,Chart,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-108-AVATAR-plausible,Closure-108,Closure,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-12-AVATAR-plausible,Closure-12,Closure,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-126-AVATAR-plausible,Closure-126,Closure,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
