method,bug_id,n_patches,n_correct,n_tied_top,top1_correct_expected,random_expected
Majority class,Chart-1,24,11,24,0.4583333333333333,0.4583333333333333
Majority class,Chart-11,9,9,9,1.0,1.0
Majority class,Chart-12,6,1,6,0.16666666666666666,0.16666666666666666
Majority class,Chart-13,12,0,12,0.0,0.0
Majority class,Chart-14,6,1,6,0.16666666666666666,0.16666666666666666
Majority class,Chart-15,7,0,7,0.0,0.0
Majority class,Chart-17,3,0,3,0.0,0.0
Majority class,Chart-18,2,0,2,0.0,0.0
Majority class,Chart-19,6,5,6,0.8333333333333334,0.8333333333333334
Majority class,Chart-20,3,3,3,1.0,1.0
Majority class,Chart-24,9,8,9,0.8888888888888888,0.8888888888888888
Majority class,Chart-25,14,0,14,0.0,0.0
Majority class,Chart-26,12,4,12,0.3333333333333333,0.3333333333333333
Majority class,Chart-3,7,0,7,0.0,0.0
Majority class,Chart-4,5,5,5,1.0,1.0
Majority class,Chart-5,10,0,10,0.0,0.0
Majority class,Chart-7,8,1,8,0.125,0.125
Majority class,Chart-8,2,2,2,1.0,1.0
Majority class,Chart-9,9,5,9,0.5555555555555556,0.5555555555555556
Majority class,Closure-1,2,0,2,0.0,0.0
Majority class,Closure-10,4,0,4,0.0,0.0
Majority class,Closure-107,2,0,2,0.0,0.0
Majority class,Closure-108,2,0,2,0.0,0.0
Majority class,Closure-109,3,0,3,0.0,0.0
Majority class,Closure-112,4,0,4,0.0,0.0
Majority class,Closure-114,4,0,4,0.0,0.0
Majority class,Closure-115,8,6,8,0.75,0.75
Majority class,Closure-117,2,0,2,0.0,0.0
Majority class,Closure-119,2,0,2,0.0,0.0
Majority class,Closure-12,3,0,3,0.0,0.0
Majority class,Closure-120,3,0,3,0.0,0.0
Majority class,Closure-121,3,0,3,0.0,0.0
Majority class,Closure-124,4,0,4,0.0,0.0
Majority class,Closure-125,2,0,2,0.0,0.0
Majority class,Closure-126,12,7,12,0.5833333333333334,0.5833333333333334
Majority class,Closure-127,2,0,2,0.0,0.0
Majority class,Closure-129,6,0,6,0.0,0.0
Majority class,Closure-130,4,0,4,0.0,0.0
Majority class,Closure-133,2,0,2,0.0,0.0
