patch_id,bug_id,has_trigger_test_info,lines_added,lines_removed,total_changed,code_lines_added,code_lines_removed,n_hunks,n_files,only_deletes,adds_conditional_guard,literal_in_failing_test_message
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,1,2,2,4,2,2,2,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,1,1,1,2,1,0,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS,Lang-35,0,2,2,4,2,2,2,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS,Lang-7,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,Math-25,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math-3,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,Math-35,1,13,0,13,13,0,3,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-5-ACS,Math-5,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,Math-61,1,2,2,4,2,2,2,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math-82,1,1,2,3,1,2,1,1,0,1,1
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math-85,1,1,2,3,1,2,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-89-ACS,Math-89,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-90-ACS,Math-90,1,1,1,2,1,0,1,1,0,1,0
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-99-ACS,Math-99,1,2,2,4,2,2,2,1,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,Chart-11,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Closure-115,1,1,3,4,0,3,1,1,1,0,0
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,Closure-2,1,4,1,5,3,1,2,1,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,Closure-38,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang-10,1,1,7,8,0,7,1,1,1,0,0
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,Lang-57,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,Chart-12,1,1,0,1,1,0,1,1,0,0,0
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Closure-115,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Closure-126,1,0,8,8,0,4,1,1,1,0,0
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja,Math-35,1,6,1,7,6,1,2,1,0,1,0
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,Math-50,1,0,8,8,0,7,2,2,1,0,0
Patches_ICSE__Ddifferent__Cardumen__Chart__patch1-Chart-11-Cardumen,Chart-11,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__DynaMoth__Math__patch1-Math-50-DynaMoth,Math-50,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-11-FixMiner,Chart-11,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-24-FixMiner,Chart-24,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-115-GenProg,Closure-115,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Closure-126,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-115-Kali,Closure-115,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali,Closure-126,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__Kali__Math__patch1-Math-50-Kali,Math-50,1,1,1,2,1,1,1,1,0,1,0
