patch_id,true_project,true_bug_number,model,project,bug_number,recalled_label,recognized,error
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart,19,claude-haiku-4-5,Chart,5,OVERFITTING,False,
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang,24,claude-haiku-4-5,Lang,32,OVERFITTING,False,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math,3,claude-haiku-4-5,Math,51,OVERFITTING,False,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math,82,claude-haiku-4-5,Math,41,OVERFITTING,False,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math,85,claude-haiku-4-5,Math,32,OVERFITTING,False,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,Math,80,claude-haiku-4-5,Math,427,OVERFITTING,False,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,Math,82,claude-haiku-4-5,Math,1,OVERFITTING,False,
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart,1,claude-haiku-4-5,Chart,1,OVERFITTING,True,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-80-Arja-plausible,Math,80,claude-haiku-4-5,Math,,UNKNOWN,False,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,Math,82,claude-haiku-4-5,Math,34,OVERFITTING,False,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Math,85,claude-haiku-4-5,Math,226,OVERFITTING,False,
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart,1,claude-haiku-4-5,Chart,,UNKNOWN,False,
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,Math,85,claude-haiku-4-5,Math,,UNKNOWN,False,
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-1-GenProg-plausible,Chart,1,claude-haiku-4-5,Chart,,UNKNOWN,False,
