patch_id,condition,model,n_runs,n_parsed,s_sem_final,decision
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,C,claude-haiku-4-5,3,3,0.15000000000000002,OVERFITTING
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,C,claude-haiku-4-5,3,3,0.15000000000000002,OVERFITTING
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-80-Arja-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,C,claude-haiku-4-5,3,3,0.08333333333333337,OVERFITTING
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,C,claude-haiku-4-5,3,3,0.023333333333333355,OVERFITTING
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-1-GenProg-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
