patch_id,bug_id,s_edit_ast,s_edit_ast_actions,s_edit_ast_nodes,s_vuln_changed,s_vuln_new_warning_count,analysis_level,d_cyclomatic,d_stmts,d_branch_points,d_cfg_edges,d_defuse_pairs,s_edit_error,s_vuln_buggy_error,s_vuln_candidate_error
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,0.21138211382113822,26,123,0,0,DATAFLOW,0,12,2,12,6,,,
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,0.029288702928870293,14,478,0,0,DATAFLOW,0,2,1,2,0,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math-3,0.05263157894736842,21,399,0,0,DATAFLOW,0,7,1,7,5,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math-82,0.12781954887218044,17,133,0,0,DATAFLOW,1,5,1,6,4,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math-85,0.047619047619047616,13,273,0,0,DATAFLOW,1,3,1,4,2,,,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,Math-80,0.07462686567164178,10,134,0,0,DATAFLOW,0,1,0,1,1,,,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,Math-82,0.0449438202247191,4,89,0,0,DATAFLOW,0,1,0,1,1,,,
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart-1,0.11602209944751381,21,181,0,0,DATAFLOW,0,0,-1,0,1,,,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-80-Arja-plausible,Math-80,0.07952468007312614,87,1094,1.0,2,DATAFLOW,-1,-29,-1,-30,-27,,,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,Math-82,0.200836820083682,48,239,0,0,DATAFLOW,1,9,1,10,6,,,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Math-85,0.06593406593406594,18,273,0,0,DATAFLOW,1,-24,0,-23,-22,,,
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart-1,0.06629834254143646,12,181,0,0,DATAFLOW,0,-2,-1,-2,0,,,
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,Math-85,0.014652014652014652,4,273,0,0,DATAFLOW,1,-24,0,-23,-22,,,
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-1-GenProg-plausible,Chart-1,0.1284153005464481,47,366,0.5,1,DATAFLOW,1,5,0,6,6,,,
