patch_id,S_sem,S_cex,S_edit,S_vuln,alpha,beta,gamma,delta,PVS,PVS_strategy,PVS_paper_formula_complete_only,missing_component_flags,ground_truth_label,S_edit_method,context_errors,S_vuln_new_warning_count,S_edit_loc
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,0.050000000000000044,1.0,0.21138211382113822,0.0,0.25,0.25,0.25,0.25,0.7096544715447155,shifted_renormalized,0.20965447154471545,,correct,ast,,0,0.2857142857142857
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,0.75,1.0,0.09322033898305085,0.0,0.25,0.25,0.25,0.25,0.9141949152542372,shifted_renormalized,0.4141949152542373,,correct,ast,,0,0.06666666666666667
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,0.050000000000000044,,0.021660649819494584,0.0,0.25,0.25,0.25,0.25,0.6761131167268352,shifted_renormalized,,S_cex,correct,ast,,0,0.021739130434782608
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,0.050000000000000044,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.5125,shifted_renormalized,0.012500000000000011,,overfitting,ast,,0,1.0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,0.15000000000000002,1.0,0.025991792065663474,0.0,0.25,0.25,0.25,0.25,0.7810020519835841,shifted_renormalized,0.28100205198358413,,overfitting,ast,,0,0.008547008547008548
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,0.050000000000000044,,0.053061224489795916,0.0,0.25,0.25,0.25,0.25,0.6656462585034014,shifted_renormalized,,S_cex,overfitting,ast,,0,0.027777777777777776
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,0.050000000000000044,,0.014164305949008499,0.0,0.25,0.25,0.25,0.25,0.6786118980169972,shifted_renormalized,,S_cex,overfitting,ast,,0,0.02127659574468085
Patches_ICSE__Doverfitting__FixMiner__Time__patch1-Time-11-FixMiner-plausible,0.050000000000000044,,0.8125,0.0,0.25,0.25,0.25,0.25,0.41250000000000003,shifted_renormalized,,S_cex,overfitting,ast,,0,0.6666666666666666
Patches_ICSE__Dsame__ACS__Time__patch1-Time-15-ACS,0.15000000000000002,1.0,0.21333333333333335,0.0,0.25,0.25,0.25,0.25,0.7341666666666666,shifted_renormalized,0.23416666666666663,,correct,ast,,0,0.13333333333333333
Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-43-SimFix,0.25,,0.051643192488262914,0.0,0.25,0.25,0.25,0.25,0.7327856025039123,shifted_renormalized,,S_cex,correct,ast,,0,0.041666666666666664
Patches_others__Dcorrect__CapGen__Math__patch1-Math-53-CapGen,0.92,,0.25396825396825395,0.0,0.25,0.25,0.25,0.25,0.8886772486772486,shifted_renormalized,,S_cex,correct,ast,,0,0.25
Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-14-SimFix-plausible,0.15000000000000002,,0.020348837209302327,0.0,0.25,0.25,0.25,0.25,0.7098837209302326,shifted_renormalized,,S_cex,overfitting,ast,,0,0.031746031746031744
Patches_others__Dcorrect__SketchFix__Closure__patch1-Closure-14-SketchFix,0.15000000000000002,,0.020348837209302327,0.0,0.25,0.25,0.25,0.25,0.7098837209302326,shifted_renormalized,,S_cex,correct,ast,,0,0.031746031746031744
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-31-Kali-plausible,0.050000000000000044,,0.09900990099009901,0.0,0.25,0.25,0.25,0.25,0.6503300330033004,shifted_renormalized,,S_cex,overfitting,ast,,0,0.11764705882352941
Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-31-RSRepair-plausible,0.050000000000000044,,0.07920792079207921,0.0,0.25,0.25,0.25,0.25,0.656930693069307,shifted_renormalized,,S_cex,overfitting,ast,,0,0.11764705882352941
Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-31-Jaid,0.050000000000000044,,0.01606425702811245,0.0,0.25,0.25,0.25,0.25,0.6779785809906292,shifted_renormalized,,S_cex,correct,ast,,0,0.02
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,0.050000000000000044,1.0,0.029288702928870293,0.0,0.25,0.25,0.25,0.25,0.7551778242677825,shifted_renormalized,0.25517782426778246,,correct,ast,,0,0.012658227848101266
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-24-TBar-plausible,0.050000000000000044,1.0,0.05230125523012552,0.0,0.25,0.25,0.25,0.25,0.7494246861924686,shifted_renormalized,0.24942468619246863,,overfitting,ast,,0,0.0379746835443038
Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,0.050000000000000044,1.0,0.05230125523012552,0.0,0.25,0.25,0.25,0.25,0.7494246861924686,shifted_renormalized,0.24942468619246863,,overfitting,ast,,0,0.0379746835443038
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,0.050000000000000044,,0.011023622047244094,0.0,0.25,0.25,0.25,0.25,0.6796587926509187,shifted_renormalized,,S_cex,overfitting,ast,,0,0.025974025974025976
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-39-TBar-plausible,0.010000000000000009,1.0,0.011023622047244094,0.0,0.25,0.25,0.25,0.25,0.749744094488189,shifted_renormalized,0.249744094488189,,overfitting,ast,,0,0.025974025974025976
Patches_ICSE__Doverfitting__jGenProg__Lang__patch1-Lang-39-jGenProg-plausible,0.050000000000000044,,0.08188976377952756,0.0,0.25,0.25,0.25,0.25,0.6560367454068242,shifted_renormalized,,S_cex,overfitting,ast,,0,0.07792207792207792
Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-39-SimFix,0.92,,0.03622047244094488,0.0,0.25,0.25,0.25,0.25,0.9612598425196851,shifted_renormalized,,S_cex,correct,ast,,0,0.03896103896103896
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,0.15000000000000002,1.0,0.7654320987654321,0.5,0.25,0.25,0.25,0.25,0.471141975308642,shifted_renormalized,-0.028858024691358036,,correct,ast,,1,1.0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,0.92,,0.05673758865248227,0.0,0.25,0.25,0.25,0.25,0.9544208037825058,shifted_renormalized,,S_cex,overfitting,ast,,0,0.09090909090909091
Patches_ICSE__Doverfitting__Nopol__Math__patch1-Math-4-Nopol-plausible,0.050000000000000044,,0.425,1.0,0.25,0.25,0.25,0.25,0.20833333333333334,shifted_renormalized,,S_cex,overfitting,ast,,2,0.5714285714285714
Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-4-AVATAR,0.9499999999999998,,0.05673758865248227,0.0,0.25,0.25,0.25,0.25,0.9644208037825059,shifted_renormalized,,S_cex,correct,ast,,0,0.2727272727272727
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,0.15000000000000002,,0.00641025641025641,0.0,0.25,0.25,0.25,0.25,0.7145299145299145,shifted_renormalized,,S_cex,correct,ast,,0,0.08
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,0.050000000000000044,,0.17333333333333334,0.0,0.25,0.25,0.25,0.25,0.6255555555555555,shifted_renormalized,,S_cex,correct,ast,,0,0.4444444444444444
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,0.15000000000000002,,0.035398230088495575,0.0,0.25,0.25,0.25,0.25,0.7048672566371681,shifted_renormalized,,S_cex,correct,ast,,0,0.03571428571428571
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,0.010000000000000009,,0.30357142857142855,0.0,0.25,0.25,0.25,0.25,0.5688095238095238,shifted_renormalized,,S_cex,overfitting,ast,,0,0.375
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,0.15000000000000002,,0.07650273224043716,0.0,0.25,0.25,0.25,0.25,0.6911657559198542,shifted_renormalized,,S_cex,correct,ast,,0,0.23529411764705882
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,0.050000000000000044,,0.009962640099626401,0.0,0.25,0.25,0.25,0.25,0.6800124533001245,shifted_renormalized,,S_cex,overfitting,ast,,0,0.007874015748031496
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,0.15000000000000002,,0.04,0.0,0.25,0.25,0.25,0.25,0.7033333333333333,shifted_renormalized,,S_cex,correct,ast,,0,0.6666666666666666
Patches_ICSE__Doverfitting__Nopol__Time__patch1-Time-14-Nopol-plausible,0.050000000000000044,,0.3333333333333333,0.0,0.25,0.25,0.25,0.25,0.5722222222222223,shifted_renormalized,,S_cex,overfitting,ast,,0,0.13333333333333333
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,0.050000000000000044,,0.18823529411764706,0.0,0.25,0.25,0.25,0.25,0.6205882352941177,shifted_renormalized,,S_cex,correct,ast,,0,0.17073170731707318
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,0.050000000000000044,,0.1301518438177874,0.0,0.25,0.25,0.25,0.25,0.6399493853940709,shifted_renormalized,,S_cex,overfitting,ast,,0,0.06930693069306931
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,0.050000000000000044,,0.08653846153846154,0.0,0.25,0.25,0.25,0.25,0.6544871794871795,shifted_renormalized,,S_cex,overfitting,ast,,0,0.038461538461538464
Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,0.9499999999999998,0.6666666666666666,0.016666666666666666,0.0,0.25,0.25,0.25,0.25,0.8999999999999999,shifted_renormalized,0.39999999999999997,,correct,ast,,0,0.75
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-45-AVATAR-plausible,0.050000000000000044,,0.0963302752293578,0.0,0.25,0.25,0.25,0.25,0.651223241590214,shifted_renormalized,,S_cex,overfitting,ast,,0,0.14705882352941177
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,0.050000000000000044,0.5,0.08928571428571429,0.5,0.25,0.25,0.25,0.25,0.49017857142857146,shifted_renormalized,-0.009821428571428564,,overfitting,ast,,1,0.15384615384615385
Patches_others__Dcorrect__SOFix__Time__patch1-Time-19-SOFix,0.85,1.0,0.05625,0.0,0.25,0.25,0.25,0.25,0.9484375,shifted_renormalized,0.44843750000000004,,correct,ast,,0,0.08333333333333333
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,0.050000000000000044,,0.025974025974025976,0.0,0.25,0.25,0.25,0.25,0.6746753246753247,shifted_renormalized,,S_cex,overfitting,ast,,0,0.10526315789473684
Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,0.9499999999999998,1.0,0.03431372549019608,0.0,0.25,0.25,0.25,0.25,0.9789215686274509,shifted_renormalized,0.4789215686274509,,correct,ast,,0,0.06060606060606061
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,0.050000000000000044,1.0,0.017543859649122806,0.0,0.25,0.25,0.25,0.25,0.7581140350877194,shifted_renormalized,0.2581140350877193,,correct,ast,,0,0.01639344262295082
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,0.15000000000000002,,0.12781954887218044,0.0,0.25,0.25,0.25,0.25,0.6740601503759399,shifted_renormalized,,S_cex,correct,ast,,0,0.1875
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,0.85,1.0,0.16326530612244897,0.0,0.25,0.25,0.25,0.25,0.9216836734693878,shifted_renormalized,0.4216836734693878,,overfitting,ast,,0,0.6666666666666666
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,0.050000000000000044,1.0,0.05263157894736842,0.0,0.25,0.25,0.25,0.25,0.7493421052631579,shifted_renormalized,0.24934210526315792,,correct,ast,,0,0.047619047619047616
