patch_id,condition,model,n_runs,n_parsed,s_sem_final,decision
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,C,claude-haiku-4-5,3,3,0.75,CORRECT
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,C,claude-haiku-4-5,3,3,0.15000000000000002,OVERFITTING
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__FixMiner__Time__patch1-Time-11-FixMiner-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Dsame__ACS__Time__patch1-Time-15-ACS,C,claude-haiku-4-5,3,3,0.15000000000000002,OVERFITTING
Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-43-SimFix,C,claude-haiku-4-5,3,3,0.25,OVERFITTING
Patches_others__Dcorrect__CapGen__Math__patch1-Math-53-CapGen,C,claude-haiku-4-5,3,3,0.92,CORRECT
Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-14-SimFix-plausible,C,claude-haiku-4-5,3,3,0.15000000000000002,OVERFITTING
Patches_others__Dcorrect__SketchFix__Closure__patch1-Closure-14-SketchFix,C,claude-haiku-4-5,3,3,0.15000000000000002,OVERFITTING
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-31-Kali-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-31-RSRepair-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-31-Jaid,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-24-TBar-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,C,claude-haiku-4-5,3,3,0.050000000000000044,OVERFITTING
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-39-TBar-plausible,C,claude-haiku-4-5,3,3,0.010000000000000009,OVERFITTING
