patch_id,bug_id,s_edit_ast,s_edit_ast_actions,s_edit_ast_nodes,s_vuln_changed,s_vuln_new_warning_count,analysis_level,d_cyclomatic,d_stmts,d_branch_points,d_cfg_edges,d_defuse_pairs,s_edit_error,s_vuln_buggy_error,s_vuln_candidate_error
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,0.21138211382113822,26,123,0,0,DATAFLOW,0,12,2,12,6,,,
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,Chart-12,0.09322033898305085,11,118,0,0,FAILED,,,,,,,,
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Closure-115,0.021660649819494584,6,277,0,0,DATAFLOW,1,-2,0,-1,-1,,,
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,Chart-15,1.0,2249,2243,0,0,FAILED,,,,,,,,
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,Lang-58,0.025991792065663474,19,731,0,0,DATAFLOW,-1,-3,-1,-4,-2,,,
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,Closure-117,0.053061224489795916,13,245,0,0,DATAFLOW,1,-8,0,-7,-6,,,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,Math-28,0.014164305949008499,5,353,0,0,DATAFLOW,0,-1,0,-1,-1,,,
Patches_ICSE__Doverfitting__FixMiner__Time__patch1-Time-11-FixMiner-plausible,Time-11,0.8125,13,16,0,0,DATAFLOW,2,6,2,8,3,,,
Patches_ICSE__Dsame__ACS__Time__patch1-Time-15-ACS,Time-15,0.21333333333333335,16,75,0,0,DATAFLOW,0,7,1,7,4,,,
Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-43-SimFix,Lang-43,0.051643192488262914,11,213,0,0,DATAFLOW,0,1,0,1,0,,,
Patches_others__Dcorrect__CapGen__Math__patch1-Math-53-CapGen,Math-53,0.25396825396825395,16,63,0,0,DATAFLOW,1,6,2,7,3,,,
Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-14-SimFix-plausible,Closure-14,0.020348837209302327,7,344,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_others__Dcorrect__SketchFix__Closure__patch1-Closure-14-SketchFix,Closure-14,0.020348837209302327,7,344,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-31-Kali-plausible,Closure-31,0.09900990099009901,10,101,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-31-RSRepair-plausible,Closure-31,0.07920792079207921,8,101,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-31-Jaid,Closure-31,0.01606425702811245,8,498,0,0,DATAFLOW,-1,-3,-1,-4,-2,,,
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,0.029288702928870293,14,478,0,0,DATAFLOW,0,2,1,2,0,,,
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-24-TBar-plausible,Lang-24,0.05230125523012552,25,478,0,0,DATAFLOW,2,4,2,6,2,,,
Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,Lang-24,0.05230125523012552,25,478,0,0,DATAFLOW,2,4,2,6,2,,,
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,Lang-39,0.011023622047244094,7,635,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-39-TBar-plausible,Lang-39,0.011023622047244094,7,635,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Doverfitting__jGenProg__Lang__patch1-Lang-39-jGenProg-plausible,Lang-39,0.08188976377952756,52,635,0,0,DATAFLOW,-2,-13,-2,-15,-10,,,
Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-39-SimFix,Lang-39,0.03622047244094488,23,635,0,0,DATAFLOW,2,5,2,7,2,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,Math-35,0.7654320987654321,62,81,0.5,1,DATAFLOW,0,56,8,56,32,,,
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja,Math-35,0.0,0,81,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,Math-4,0.05673758865248227,16,282,0,0,DATAFLOW,0,4,2,4,0,,,
Patches_ICSE__Doverfitting__Nopol__Math__patch1-Math-4-Nopol-plausible,Math-4,0.425,34,80,1.0,2,DATAFLOW,3,9,3,12,6,,,
Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-4-AVATAR,Math-4,0.05673758865248227,16,282,0,0,DATAFLOW,0,4,2,4,0,,,
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,Closure-38,0.00641025641025641,1,156,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,Math-61,0.17333333333333334,13,75,0,0,DATAFLOW,0,7,1,7,4,,,
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS,Lang-35,0.0,0,266,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,Math-25,0.035398230088495575,16,452,0,0,FAILED,,,,,,,,
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,Chart-13,0.30357142857142855,17,56,0,0,DATAFLOW,1,-13,0,-12,-10,,,
